,Course,College,Year Level,School Year,No.,Appno,SCHOOL,Cntr,Date,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,Word,SY
50,BS ARCH,College of Architecture,1,2018-2019,452.0,1819-09219,SAINT COLUMBAN COLLEGE,PAG,3/17/2018,89.71,94.82,18.75,24.91,83.75,81.43,Eighty One Point Forty Three,2018-2019
51,BS ARCH,College of Architecture,1,2018-2019,504.0,1819-12717,MABUHAY-ESU,MAB,4/15/2018,72.78,90.94,76.79,93.38,63.1,84.19,Eighty Four Point Nineteen,2018-2019
52,BS ARCH,College of Architecture,1,2018-2019,520.0,1819-04323,NOTRE DAME OF JOLO COLLEGE,ZAM,3/4/2018,61.05,66.85,85.06,70.61,63.1,72.43,Seventy Two Point Forty Three,2018-2019
53,BS ARCH,College of Architecture,1,2018-2019,687.0,2122-17493,WESTERN MINDANAO STATE UNIVERSITY,OTC,4/18/2021,72.78,30.03,44.12,24.91,43.49,54.31,Fifty Four Point Thirty One,2021-2022
54,BS ARCH,College of Architecture,1,2018-2019,653.0,1819-07440,SOUTHERN CITY COLLEGES,ZAM,3/11/2018,76.83,10.15,72.66,24.91,63.1,60.09,Sixty Point Nine,2018-2019
55,BS ARCH,College of Architecture,1,2018-2019,878.0,2122-17491,WESTERN MINDANAO STATE UNIVERSITY,OTC,4/18/2021,28.82,54.75,66.81,18.16,72.9,44.06,Forty Four Point Six,2021-2022
56,BS ARCH,College of Architecture,1,2018-2019,769.0,1819-00375,CULIANAN NATIONAL HIGH SCHOOL,ZAM,2/18/2018,63.53,92.88,94.84,92.22,87.72,88.22,Eighty Eight Point Twenty Two,2018-2019
57,BA BROAD,CLA,1,2019-2020,769.0,1819-00375,CULIANAN NATIONAL HIGH SCHOOL,ZAM,2/18/2018,63.53,92.88,94.84,92.22,87.72,88.22,Eighty Eight Point Twenty Two,2018-2019
58,BS ARCH,College of Architecture,1,2018-2019,801.0,1819-01790,MARIAN COLLEGE,ZAM,2/18/2018,82.02,66.85,72.66,18.16,83.75,76.07,Seventy Six Point Seven,2018-2019
59,BS ARCH,College of Architecture,1,2018-2019,1032.0,1819-03587,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,76.83,90.94,80.93,75.28,87.72,85.57,Eighty Five Point Fifty Seven,2018-2019
60,BS ARCH,College of Architecture,1,2018-2019,1176.0,1819-04767,NOTRE DAME OF BONGAO,ZAM,3/4/2018,49.95,77.12,72.66,34.54,72.9,63.6,Sixty Three Point Sixty,2018-2019
61,BS ARCH,College of Architecture,1,2018-2019,1252.0,1819-09383,MOLAVE VOCATIONAL TECHNICAL SCHOOL,AVE,3/25/2018,55.84,35.7,66.81,92.22,33.69,62.48,Sixty Two Point Forty Eight,2018-2019
62,BS ARCH,College of Architecture,1,2018-2019,1332.0,1819-00847,NONE,ZAM,2/18/2018,86.35,90.94,51.68,79.96,33.69,82.12,Eighty Two Point Twelve,2018-2019
63,BS ARCH,College of Architecture,1,2018-2019,1347.0,1819-08953,ZAMBOANGA DEL SUR NATIONAL HIGH SCHOOL,PAG,3/17/2018,61.05,66.85,85.06,79.96,53.29,73.34,Seventy Three Point Thirty Four,2018-2019
64,BS ARCH,College of Architecture,1,2018-2019,1404.0,1819-08921,ZAMBOANGA DEL SUR NATIONAL HIGH SCHOOL,PAG,3/17/2018,68.5,48.4,66.81,34.54,63.1,63.6,Sixty Three Point Sixty,2018-2019
65,BS ARCH,College of Architecture,1,2019-2020,1404.0,1819-08921,ZAMBOANGA DEL SUR NATIONAL HIGH SCHOOL,PAG,3/17/2018,68.5,48.4,66.81,34.54,63.1,63.6,Sixty Three Point Sixty,2018-2019
66,BS ARCH,College of Architecture,1,2018-2019,1477.0,1819-06275,NONE,ZAM,3/11/2018,97.83,92.88,89.19,63.45,95.65,95.98,Ninety Five Point Ninety Eight,2018-2019
67,BS ARCH,College of Architecture,1,2018-2019,1652.0,1819-04455,"BRENT HOSPITAL AND COLLEGES, INC.",ZAM,3/4/2018,44.05,48.4,66.81,70.61,83.75,61.37,Sixty One Point Thirty Seven,2018-2019
68,BS ARCH,College of Architecture,1,2018-2019,1764.0,1819-10328,MARIAN COLLEGE,IPI,3/25/2018,86.35,61.11,76.79,79.96,83.75,84.88,Eighty Four Point Eighty Eight,2018-2019
69,BS ARCH,College of Architecture,1,2018-2019,1765.0,1819-03275,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,68.5,35.7,13.15,92.22,63.1,62.48,Sixty Two Point Forty Eight,2018-2019
70,BS ARCH,College of Architecture,1,2018-2019,1958.0,1819-05294,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,ZAM,3/4/2018,61.05,77.12,66.81,84.63,53.29,72.43,Seventy Two Point Forty Three,2018-2019
71,BS ARCH,College of Architecture,1,2018-2019,2005.0,1819-01378,J-JIREH SCHOOL,ZAM,2/18/2018,91.83,90.94,80.93,70.61,95.65,92.03,Ninety Two Point Three,2018-2019
72,BS ARCH,College of Architecture,1,2018-2019,2047.0,1819-06095,AMA COMPUTER COLLEGE,ZAM,3/11/2018,44.05,48.4,85.06,84.63,63.1,65.83,Sixty Five Point Eighty Three,2018-2019
73,BS ARCH,College of Architecture,1,2018-2019,2100.0,1819-03325,BALIWASAN SENIOR HIGH SCHOOL WEST,ZAM,2/25/2018,89.71,71.99,76.79,75.28,53.29,84.88,Eighty Four Point Eighty Eight,2018-2019
74,BS ARCH,College of Architecture,1,2018-2019,2123.0,1819-05397,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,ZAM,3/4/2018,68.5,66.85,59.25,63.45,63.1,69.19,Sixty Nine Point Nineteen,2018-2019
75,BS ARCH,College of Architecture,1,2018-2019,2127.0,1819-03180,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,97.83,99.7,89.19,99.2,95.65,99.04,Ninety Nine Point Four,2018-2019
76,BS ARCH,College of Architecture,1,2018-2019,2138.0,1819-02393,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,68.5,71.99,80.93,75.28,91.68,80.63,Eighty Point Sixty Three,2018-2019
77,BS ARCH,College of Architecture,1,2018-2019,2148.0,1819-06513,NONE,ZAM,3/11/2018,61.05,87.4,76.79,95.71,83.75,83.5,Eighty Three Point Fifty,2018-2019
78,BS ARCH,College of Architecture,1,2018-2019,2220.0,1819-05580,AMA COMPUTER COLLEGE,ZAM,3/4/2018,58.56,48.4,93.41,44.18,79.78,70.3,Seventy Point Thirty,2018-2019
79,BS ARCH,College of Architecture,1,2018-2019,2274.0,1819-09647,NONE,AVE,3/24/2018,52.9,77.12,24.36,53.82,83.75,61.37,Sixty One Point Thirty Seven,2018-2019
80,BS ARCH,College of Architecture,1,2018-2019,2551.0,1819-06473,SYSTEM TECHNOLOGY INSTITUTE,ZAM,3/11/2018,74.8,42.05,76.79,70.61,33.69,69.19,Sixty Nine Point Nineteen,2018-2019
81,BS ARCH,College of Architecture,1,2018-2019,2557.0,1819-03031,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,97.83,92.88,76.79,96.87,83.75,96.72,Ninety Six Point Seventy Two,2018-2019
82,BS ARCH,College of Architecture,1,2018-2019,2811.0,1819-03356,CLARET HIGH SCHOOL,ZAM,2/25/2018,84.91,94.82,29.96,53.82,83.75,82.12,Eighty Two Point Twelve,2018-2019
83,BS ARCH,College of Architecture,1,2018-2019,2838.0,1819-03039,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,97.39,96.76,59.25,63.45,87.72,93.85,Ninety Three Point Eighty Five,2018-2019
84,BS ARCH,College of Architecture,1,2018-2019,2913.0,1819-08368,NONE,IME,3/17/2018,91.83,87.4,97.72,99.2,97.87,97.8,Ninety Seven Point Eighty,2018-2019
85,BS ARCH,College of Architecture,1,2018-2019,3002.0,1819-04736,NOTRE DAME OF BONGAO,ZAM,3/4/2018,66.01,87.4,44.12,75.28,83.75,75.16,Seventy Five Point Sixteen,2018-2019
86,BS ARCH,College of Architecture,1,2019-2020,3002.0,1819-04736,NOTRE DAME OF BONGAO,ZAM,3/4/2018,66.01,87.4,44.12,75.28,83.75,75.16,Seventy Five Point Sixteen,2018-2019
87,BS ARCH,College of Architecture,1,2018-2019,3026.0,1819-05867,SIOCON NATIONAL HIGH SCHOOL,ZAM,3/4/2018,70.75,61.11,66.81,44.18,72.9,69.19,Sixty Nine Point Nineteen,2018-2019
88,BS ARCH,College of Architecture,1,2018-2019,3257.0,1819-01816,SYSTEM TECHNOLOGY INSTITUTE,ZAM,2/18/2018,37.99,82.26,59.25,70.61,63.1,61.37,Sixty One Point Thirty Seven,2018-2019
89,BS ARCH,College of Architecture,1,2018-2019,3286.0,1819-11355,UNIVERSIDAD DE ZAMBOANGA,OTC,4/8/2018,63.53,87.4,29.96,44.18,43.49,62.48,Sixty Two Point Forty Eight,2018-2019
90,BS ARCH,College of Architecture,1,2018-2019,3335.0,1819-05391,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,ZAM,3/4/2018,55.84,82.26,72.66,70.61,72.9,71.42,Seventy One Point Forty Two,2018-2019
91,BS ARCH,College of Architecture,1,2018-2019,3373.0,1819-11861,ALICIA NATIONAL HIGH SCHOOL,CIA,4/15/2018,83.47,90.94,91.97,84.63,72.9,89.17,Eighty Nine Point Seventeen,2018-2019
92,BS ARCH,College of Architecture,1,2018-2019,3387.0,1819-00995,FERNDALE INTERNATIONAL SCHOOL,ZAM,2/18/2018,74.8,48.4,36.55,14.31,72.9,60.09,Sixty Point Nine,2018-2019
93,BS ARCH,College of Architecture,1,2018-2019,3388.0,1819-02968,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,70.75,71.99,96.28,34.54,87.72,81.43,Eighty One Point Forty Three,2018-2019
94,BS ARCH,College of Architecture,1,2018-2019,3515.0,1819-05067,SYSTEM TECHNOLOGY INSTITUTE,ZAM,3/4/2018,80.58,54.75,59.25,53.82,79.78,74.25,Seventy Four Point Twenty Five,2018-2019
95,BS ARCH,College of Architecture,1,2018-2019,3545.0,1819-05577,SYSTEM TECHNOLOGY INSTITUTE,ZAM,3/4/2018,80.58,77.12,59.25,70.61,83.75,80.63,Eighty Point Sixty Three,2018-2019
96,BS ARCH,College of Architecture,1,2018-2019,3625.0,1819-12904,MABUHAY-ESU,MAB,4/15/2018,63.53,54.75,51.68,79.96,63.1,66.95,Sixty Six Point Ninety Five,2018-2019
97,BS ARCH,College of Architecture,1,2018-2019,3865.0,1819-02401,CLARET HIGH SCHOOL,ZAM,2/25/2018,68.5,66.85,51.68,92.22,72.9,75.16,Seventy Five Point Sixteen,2018-2019
98,BS ARCH,College of Architecture,1,2018-2019,3884.0,1819-04751,NOTRE DAME OF BONGAO,ZAM,3/4/2018,70.75,54.75,94.84,79.96,87.72,82.81,Eighty Two Point Eighty One,2018-2019
99,BS CE,COE,1,2019-2020,3884.0,1819-04751,NOTRE DAME OF BONGAO,ZAM,3/4/2018,70.75,54.75,94.84,79.96,87.72,82.81,Eighty Two Point Eighty One,2018-2019
100,BS ARCH,College of Architecture,1,2018-2019,3994.0,1819-07158,MARIAN COLLEGE,ZAM,3/11/2018,90.77,90.94,91.97,75.28,91.68,92.9,Ninety Two Point Ninety,2018-2019
101,BS ARCH,College of Architecture,1,2018-2019,4081.0,1819-05063,AMA COMPUTER COLLEGE,ZAM,3/4/2018,61.05,77.12,51.68,79.96,79.78,72.43,Seventy Two Point Forty Three,2018-2019
102,BS ARCH,College of Architecture,1,2018-2019,4139.0,1819-01181,REGIONAL SCIENCE HIGH SCHOOL,ZAM,2/18/2018,80.58,92.88,96.28,95.71,83.75,93.22,Ninety Three Point Twenty Two,2018-2019
103,BS ARCH,College of Architecture,1,2018-2019,4309.0,1819-06429,SOUTHERN CITY COLLEGES,ZAM,3/11/2018,44.05,71.99,80.93,92.22,53.29,70.3,Seventy Point Thirty,2018-2019
104,BS ARCH,College of Architecture,1,2018-2019,4420.0,1819-03376,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,93.41,71.99,93.41,89.31,83.75,93.22,Ninety Three Point Twenty Two,2018-2019
105,BSN,CN,1,2019-2020,4420.0,1819-03376,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,93.41,71.99,93.41,89.31,83.75,93.22,Ninety Three Point Twenty Two,2018-2019
106,BS ARCH,College of Architecture,1,2018-2019,4861.0,1819-02014,PILAR COLLEGE,ZAM,2/25/2018,87.6,82.26,76.79,75.28,72.9,86.26,Eighty Six Point Twenty Six,2018-2019
107,BSN,CN,1,2019-2020,4861.0,1819-02014,PILAR COLLEGE,ZAM,2/25/2018,87.6,82.26,76.79,75.28,72.9,86.26,Eighty Six Point Twenty Six,2018-2019
108,BS ARCH,College of Architecture,1,2018-2019,4975.0,1819-05902,KABASALAN SCIENCE & TECHNOLOGY HIGH SCHOOL,ZAM,3/4/2018,63.53,48.4,59.25,70.61,72.9,65.83,Sixty Five Point Eighty Three,2018-2019
109,BS ARCH,College of Architecture,1,2018-2019,5050.0,1819-01921,AMA COMPUTER COLLEGE,ZAM,2/18/2018,87.6,82.26,94.84,24.91,83.75,87.64,Eighty Seven Point Sixty Four,2018-2019
110,BSN,CN,1,2019-2020,5050.0,1819-01921,AMA COMPUTER COLLEGE,ZAM,2/18/2018,87.6,82.26,94.84,24.91,83.75,87.64,Eighty Seven Point Sixty Four,2018-2019
111,BS ARCH,College of Architecture,1,2018-2019,5062.0,1819-00923,SYSTEM TECHNOLOGY INSTITUTE,ZAM,2/18/2018,76.83,42.05,72.66,70.61,33.69,69.19,Sixty Nine Point Nineteen,2018-2019
112,BS ARCH,College of Architecture,1,2018-2019,5189.0,1819-03608,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,ZAM,2/25/2018,72.78,82.26,93.41,10.45,79.78,76.98,Seventy Six Point Ninety Eight,2018-2019
113,BSESS,CSSPE,1,2019-2020,5189.0,1819-03608,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,ZAM,2/25/2018,72.78,82.26,93.41,10.45,79.78,76.98,Seventy Six Point Ninety Eight,2018-2019
114,BS ARCH,College of Architecture,1,2018-2019,5523.0,1819-00871,BUNGUIAO NATIONAL HIGH SCHOOL,ZAM,2/18/2018,89.71,82.26,66.81,34.54,43.49,80.63,Eighty Point Sixty Three,2018-2019
115,BS ARCH,College of Architecture,1,2018-2019,5553.0,1819-03125,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,86.35,82.26,36.55,75.28,79.78,82.12,Eighty Two Point Twelve,2018-2019
116,BS ARCH,College of Architecture,1,2018-2019,5556.0,1819-01326,CULIANAN NATIONAL HIGH SCHOOL,ZAM,2/18/2018,72.78,87.4,59.25,34.54,63.1,72.43,Seventy Two Point Forty Three,2018-2019
117,BS ARCH,College of Architecture,1,2018-2019,5771.0,1819-04196,CLARET SCHOOL OF LAMITAN,ZAM,3/4/2018,78.85,66.85,18.75,63.45,43.49,65.83,Sixty Five Point Eighty Three,2018-2019
118,BS ARCH,College of Architecture,1,2018-2019,5824.0,1819-05850,NOTRE DAME OF JOLO COLLEGE,ZAM,3/4/2018,86.35,92.88,89.19,14.31,83.75,85.57,Eighty Five Point Fifty Seven,2018-2019
119,BS IS,CAIS,1,2019-2020,5824.0,1819-05850,NOTRE DAME OF JOLO COLLEGE,ZAM,3/4/2018,86.35,92.88,89.19,14.31,83.75,85.57,Eighty Five Point Fifty Seven,2018-2019
120,BS ARCH,College of Architecture,1,2018-2019,7887.0,2021-03369,MERCEDES NATIONAL HIGH SCHOOL,ZAM,1/26/2020,9.69,35.7,44.12,34.54,26.06,18.6,Eighteen Point Sixty,2020-2021
121,BS ARCH,College of Architecture,1,2018-2019,5881.0,1819-07525,SOUTHERN CITY COLLEGES,ZAM,3/11/2018,37.99,61.11,85.06,84.63,43.49,63.6,Sixty Three Point Sixty,2018-2019
122,BS ARCH,College of Architecture,1,2018-2019,6008.0,1819-03175,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,70.75,92.88,72.66,95.71,53.29,84.19,Eighty Four Point Nineteen,2018-2019
